Customer ID,Ordered Food,Ordered Time,Delivery Time (mins),Distance (km),Mode of Payment,Delivery Location,Delivery Guy ID,Customer Rating
CUST0001,"Tea, Smoothie",12:50 PM,86,1.48,Debit Card,Downtown,DEL037,1.2
CUST0002,"Samosa, Burger, Rice Bowl, Chips",7:33 PM,68,22.3,Cash,Lakeside,DEL064,4
CUST0003,"Samosa, Juice",3:40 PM,96,24.8,Cash,Sunset Street,DEL049,4.8
CUST0004,Pasta,7:41 AM,17,7.7,Cash,Tech Valley,DEL017,2
CUST0005,Tea,2:12 AM,91,5.65,Wallet,Tech Valley,DEL056,2.3
CUST0006,"Rice Bowl, Chips, Milkshake, Biryani",2:37 PM,21,19.25,Debit Card,Lakeside,DEL027,1.7
CUST0007,"Coffee, Biryani, Fries",2:43 PM,40,6.7,Credit Card,Uptown,DEL077,3.3
CUST0008,"Pasta, Rice Bowl, Samosa, Noodles",3:52 AM,87,21.71,UPI,Lakeside,DEL028,1.6
CUST0009,"Pasta, Coke",1:24 PM,43,3.02,Credit Card,Hillview,DEL037,2.4
CUST0010,Coke,7:35 PM,91,3.59,Wallet,Old Town,DEL025,3.8
CUST0011,"Milkshake, Momos",11:18 PM,107,24.49,Credit Card,Lakeside,DEL054,3.2
CUST0012,"Burger, Noodles, Hotdog, Momos",3:26 AM,84,17.01,Debit Card,Tech Valley,DEL024,2.5
CUST0013,"Pasta, Burger",12:06 PM,114,21.25,Credit Card,City Center,DEL053,2.7
CUST0014,"Smoothie, Sandwich",4:13 AM,85,8.45,Cash,Lakeside,DEL019,3.2
CUST0015,"Momos, Samosa, Milkshake",3:18 PM,58,17.07,Credit Card,Old Town,DEL004,1
CUST0016,Rice Bowl,1:31 AM,88,15.06,Cash,Downtown,DEL038,1.3
CUST0017,"Fries, Sandwich",3:36 PM,66,15.28,Cash,Metro Square,DEL034,4.5
CUST0018,"Milkshake, Noodles, Coffee, Pasta",8:15 AM,104,17.22,UPI,Green Park,DEL031,1.3
CUST0019,"Tea, Milkshake",7:53 AM,102,14.6,Wallet,Tech Valley,DEL080,3.8
CUST0020,"Sandwich, Noodles, Milkshake, Wrap",5:48 AM,35,11.01,Wallet,Old Town,DEL058,4.7
CUST0021,"Burger, Coke, Juice",10:27 AM,27,7.26,Cash,City Center,DEL032,2.1
CUST0022,"Juice, Milkshake, Pasta",5:13 AM,105,19.33,UPI,Downtown,DEL048,2.5
CUST0023,"Sandwich, Hotdog, Wrap",11:44 PM,95,6.04,Debit Card,Uptown,DEL075,3.3
CUST0024,Sandwich,4:42 PM,47,17.46,UPI,Sunset Street,DEL059,4.5
CUST0025,"Momos, Coffee, Biryani",6:38 PM,90,6.22,Cash,Metro Square,DEL011,4.8
CUST0026,"Rice Bowl, Burger, Milkshake",9:37 AM,96,15.82,Credit Card,Green Park,DEL002,4
CUST0027,"Coke, Biryani",6:58 PM,97,18.8,UPI,Riverside,DEL061,1.3
CUST0028,"Tea, Coffee, Burger",3:39 AM,59,5.86,Debit Card,Metro Square,DEL018,3.7
CUST0029,Chips,2:51 PM,17,1.97,Debit Card,Downtown,DEL042,2.6
CUST0030,"Tea, Juice",12:04 AM,50,3.71,UPI,Sunset Street,DEL051,2.9
CUST0031,"Paneer Tikka, Noodles, Juice",10:52 PM,15,15.35,Debit Card,Lakeside,DEL028,1.2
CUST0032,"Wrap, Coke",8:10 AM,78,21.31,UPI,Tech Valley,DEL050,1.8
CUST0033,"Paneer Tikka, Smoothie",1:54 PM,53,1.6,Wallet,Tech Valley,DEL055,4.2
